date,code,name,weight,strategy_weight,position_scale
2021-06-28,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-29,588000.SH,科创50,0.25,0.5,0.5
2021-06-29,162411.SZ,华宝油气,0.25,0.5,0.5
2021-06-30,588000.SH,科创50,0.25,0.5,0.5
2021-06-30,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-01,588000.SH,科创50,0.25,0.5,0.5
2021-07-01,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-02,588000.SH,科创50,0.25,0.5,0.5
2021-07-02,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-05,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-05,588000.SH,科创50,0.25,0.5,0.5
2021-07-06,588000.SH,科创50,0.25,0.5,0.5
2021-07-06,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-07,162411.SZ,华宝油气,0.25,0.5,0.5
2021-07-07,588000.SH,科创50,0.25,0.5,0.5
2021-07-08,588000.SH,科创50,0.25,0.5,0.5
2021-07-08,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-09,588000.SH,科创50,0.25,0.5,0.5
2021-07-09,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-12,588000.SH,科创50,0.25,0.5,0.5
2021-07-12,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-13,588000.SH,科创50,0.25,0.5,0.5
2021-07-13,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-14,588000.SH,科创50,0.25,0.5,0.5
2021-07-14,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-15,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-15,588000.SH,科创50,0.25,0.5,0.5
2021-07-16,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-16,588000.SH,科创50,0.25,0.5,0.5
2021-07-19,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-19,588000.SH,科创50,0.25,0.5,0.5
2021-07-20,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-20,159985.SZ,豆粕,0.25,0.5,0.5
2021-07-21,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-21,159985.SZ,豆粕,0.25,0.5,0.5
2021-07-22,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-22,588000.SH,科创50,0.25,0.5,0.5
2021-07-23,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-23,588000.SH,科创50,0.25,0.5,0.5
2021-07-26,159949.SZ,创业板50,0.25,0.5,0.5
2021-07-26,588000.SH,科创50,0.25,0.5,0.5
2021-07-27,511380.SH,可转债,0.5,1.0,0.5
2021-07-28,511380.SH,可转债,0.5,1.0,0.5
2021-07-29,511380.SH,可转债,0.5,0.5,1.0
2021-07-29,518880.SH,黄金,0.5,0.5,1.0
2021-07-30,159949.SZ,创业板50,0.5,0.5,1.0
2021-07-30,511380.SH,可转债,0.5,0.5,1.0
2021-08-02,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-02,511380.SH,可转债,0.5,0.5,1.0
2021-08-03,511380.SH,可转债,0.5,0.5,1.0
2021-08-03,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-04,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-04,511380.SH,可转债,0.5,0.5,1.0
2021-08-05,511380.SH,可转债,0.5,0.5,1.0
2021-08-05,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-06,511380.SH,可转债,0.5,0.5,1.0
2021-08-06,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-09,159949.SZ,创业板50,0.5,0.5,1.0
2021-08-09,511380.SH,可转债,0.5,0.5,1.0
2021-08-10,511380.SH,可转债,0.5,0.5,1.0
2021-08-10,164824.SZ,印度,0.5,0.5,1.0
2021-08-11,511380.SH,可转债,0.5,0.5,1.0
2021-08-11,164824.SZ,印度,0.5,0.5,1.0
2021-08-12,511380.SH,可转债,0.5,0.5,1.0
2021-08-12,164824.SZ,印度,0.5,0.5,1.0
2021-08-13,511380.SH,可转债,0.5,0.5,1.0
2021-08-13,164824.SZ,印度,0.5,0.5,1.0
2021-08-16,164824.SZ,印度,0.5,0.5,1.0
2021-08-16,511380.SH,可转债,0.5,0.5,1.0
2021-08-17,164824.SZ,印度,0.5,0.5,1.0
2021-08-17,511380.SH,可转债,0.5,0.5,1.0
2021-08-18,164824.SZ,印度,0.5,0.5,1.0
2021-08-18,511380.SH,可转债,0.5,0.5,1.0
2021-08-19,164824.SZ,印度,0.5,0.5,1.0
2021-08-19,511380.SH,可转债,0.5,0.5,1.0
2021-08-20,164824.SZ,印度,0.5,0.5,1.0
2021-08-20,511380.SH,可转债,0.5,0.5,1.0
2021-08-23,164824.SZ,印度,0.5,0.5,1.0
2021-08-23,511380.SH,可转债,0.5,0.5,1.0
2021-08-24,164824.SZ,印度,0.5,0.5,1.0
2021-08-24,511380.SH,可转债,0.5,0.5,1.0
2021-08-25,164824.SZ,印度,0.5,0.5,1.0
2021-08-25,511380.SH,可转债,0.5,0.5,1.0
2021-08-26,164824.SZ,印度,0.5,0.5,1.0
2021-08-26,511380.SH,可转债,0.5,0.5,1.0
2021-08-27,164824.SZ,印度,0.5,0.5,1.0
2021-08-27,511380.SH,可转债,0.5,0.5,1.0
2021-08-30,164824.SZ,印度,0.5,0.5,1.0
2021-08-30,511380.SH,可转债,0.5,0.5,1.0
2021-08-31,164824.SZ,印度,0.5,0.5,1.0
2021-08-31,511380.SH,可转债,0.5,0.5,1.0
2021-09-01,164824.SZ,印度,0.5,0.5,1.0
